text,humAID_class,location_text,location_type,confidence,display_name,lat,lon,disaster_type
We have the BEST Governor EVER in #Texas @000000000 🇺🇸❤️ @00000 thank you for all your doingto help us in #Texas #Harvey #HarveyRelief 🇺🇸❤️,requests_or_urgent_needs,Texas,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
We have the BEST Governor EVER in #Texas @000000000 🇺🇸❤️ @00000 thank you for all your doingto help us in #Texas #Harvey #HarveyRelief 🇺🇸❤️,requests_or_urgent_needs,Texas,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
1/ Attn. anyone in southwest Virginia: I will be taking a load of baby supplies to a staging location in Kingsport for #Harvey.,rescue_volunteering_or_donation_effort,Virginia,State,3,"Virginia, United States",37.1232245,-78.4927721,Hurricane_harvey
1/ Attn. anyone in southwest Virginia: I will be taking a load of baby supplies to a staging location in Kingsport for #Harvey.,rescue_volunteering_or_donation_effort,Kingsport,City/town,3,"Kingsport, Sullivan County, East Tennessee, Tennessee, United States",36.550238,-82.5594293,Hurricane_harvey
.@Caprock_ER will be accepting donations for #HurricaneHarvey victims at the Walmart in College Station tomorrow.,rescue_volunteering_or_donation_effort,Walmart,Human-made Point-of-Interest,3,"Walmart Supercenter, 1815, Brothers Boulevard, College Station, Brazos County, Texas, 77845, United States",30.59711245,-96.30007747564864,Hurricane_harvey
.@Caprock_ER will be accepting donations for #HurricaneHarvey victims at the Walmart in College Station tomorrow.,rescue_volunteering_or_donation_effort,College Station,Human-made Point-of-Interest,3,"College Station, Brazos County, Texas, United States",30.5955289,-96.3071042,Hurricane_harvey
Endorsed today by @0000000000000 Rebuild TX fund in partnership w/ @000000000000000 To help w. #Harvey response.,rescue_volunteering_or_donation_effort,TX,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
"‘Harvey’ Finally Leaves Texas, Up to 30 Deaths Reported - HOUSTON, Texas -- Hurricane Harvey ended its nearly s",injured_or_dead_people,Texas,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
"‘Harvey’ Finally Leaves Texas, Up to 30 Deaths Reported - HOUSTON, Texas -- Hurricane Harvey ended its nearly s",injured_or_dead_people,HOUSTON,City/town,3,"Houston, Harris County, Texas, United States",29.7589382,-95.3676974,Hurricane_harvey
"‘Harvey’ Finally Leaves Texas, Up to 30 Deaths Reported - HOUSTON, Texas -- Hurricane Harvey ended its nearly s",injured_or_dead_people,Texas,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
".@LANationalGuard assist @000000 @0000 and @0000000000000 with the evacuation of a nursing home in Orange, #Texas, Aug. 30. #Harvey",displaced_people_and_evacuations,Orange,City/town,3,"Orange County, United States",30.1228634,-93.9041169,Hurricane_harvey
".@LANationalGuard assist @000000 @0000 and @0000000000000 with the evacuation of a nursing home in Orange, #Texas, Aug. 30. #Harvey",displaced_people_and_evacuations,Texas,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
".@LouisianaGov says because Orange, TX Judge ordered mandatory evacuation, Louisiana may take in an additional 3,000 evacuees @0000 #Harvey",displaced_people_and_evacuations,Orange,City/town,3,"Orange County, United States",30.1228634,-93.9041169,Hurricane_harvey
".@LouisianaGov says because Orange, TX Judge ordered mandatory evacuation, Louisiana may take in an additional 3,000 evacuees @0000 #Harvey",displaced_people_and_evacuations,TX,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
".@LouisianaGov says because Orange, TX Judge ordered mandatory evacuation, Louisiana may take in an additional 3,000 evacuees @0000 #Harvey",displaced_people_and_evacuations,Louisiana,State,3,"Louisiana, United States",30.8703881,-92.007126,Hurricane_harvey
"☢#FUKUSHIMA☢#TEPCO☢ As Historic Flooding Grips Texas, Groups Demand Nuclear Plant Be Shut Down #Harvey",infrastructure_and_utility_damage,Texas,State,3,"Berryville, Henderson County, United States",32.0884931,-95.4719003,Hurricane_harvey
Supporting US amid #HurricaneHarvey: @000000000000 now providing damage assessment maps to affected areas in Texas,infrastructure_and_utility_damage,Texas,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
Heres how to help! #houstonflood #hurricaneharvey2017 #hurricaneharvey #texas #HurricaneHarveyrelief 🙏🏼🙏🏼🙏🏼,rescue_volunteering_or_donation_effort,texas,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
The #Astros believe that Minute Maid Park didnt sustain any major damage from #Harvey. A full assessment will be done today.,infrastructure_and_utility_damage,Maid Park,Human-made Point-of-Interest,3,"Minute Maid Park, 501, Crawford Street, Houston, Harris County, Texas, 77004, United States",29.75723205,-95.35523391491142,Hurricane_harvey
"Storm chasing music NWStornado Tornado Warning including Channelview TX, Deer Park TX, Ly",caution_and_advice,Channelview,City/town,3,"Channelview, Harris County, 77530, United States",29.7760599,-95.1146533,Hurricane_harvey
"Storm chasing music NWStornado Tornado Warning including Channelview TX, Deer Park TX, Ly",caution_and_advice,TX,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
"Storm chasing music NWStornado Tornado Warning including Channelview TX, Deer Park TX, Ly",caution_and_advice,TX,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
"Storm chasing music NWStornado Tornado Warning including Channelview TX, Deer Park TX, Ly",caution_and_advice,Deer Park,City/town,3,"Deer Park, Harris County, 77536, United States",29.7052284,-95.1238204,Hurricane_harvey
"Levee Breached in Brazoria County, Texas; Residents Urged to Evacuate: #Harvey2017 #Harvey",displaced_people_and_evacuations,Brazoria County,County,3,"Brazoria County, United States",29.18161,-95.4993375,Hurricane_harvey
"Levee Breached in Brazoria County, Texas; Residents Urged to Evacuate: #Harvey2017 #Harvey",displaced_people_and_evacuations,Texas,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
"RT @0000000000000 #Harvey Harvey, Now a Tropical Storm, Carves a Path of Destruction Through Texas",caution_and_advice,Texas,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
Thank you to everyone helping in the #HurricaneHarvey rescue efforts in #Texas.,rescue_volunteering_or_donation_effort,Texas,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
"Fort Worth has a shelter for #Harvey evacuees too at the Wilkerson Greines Athletic Center, 5201 Ca Roberson Blvd",displaced_people_and_evacuations,Fort Worth,City/town,3,"Fort Worth, Tarrant County, Texas, United States",32.753177,-97.3327459,Hurricane_harvey
"Fort Worth has a shelter for #Harvey evacuees too at the Wilkerson Greines Athletic Center, 5201 Ca Roberson Blvd",displaced_people_and_evacuations,Ca Roberson Blvd,Road/street,1,"Roberson Boulevard, Mooresville, Morgan County, Indiana, 46158, United States",39.6173178,-86.3468357,Hurricane_harvey
Tornado Warning in effect in Fort Bend and Harris Counties until 745 AM #txwx #weather,caution_and_advice,Fort Bend,County,3,"Fort Bend County, United States",29.511218,-95.7807348,Hurricane_harvey
Tornado Warning in effect in Fort Bend and Harris Counties until 745 AM #txwx #weather,caution_and_advice,Harris,County,3,"Harris County, Texas, United States",29.8119769,-95.3741247,Hurricane_harvey
"RT @00000000 WATCH: As Hurricane Harvey bears down on Texas, some residents refuse to leave despite a mandatory evacuation order.",displaced_people_and_evacuations,Texas,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
"Damage is very heavy in parts of Fulton, Texas. The eye of Hurricane Harvey crossed right over this area with 130mph winds.",infrastructure_and_utility_damage,Fulton,City/town,3,"Fulton, Aransas County, 78358, United States",28.0658705,-97.0408066,Hurricane_harvey
"Damage is very heavy in parts of Fulton, Texas. The eye of Hurricane Harvey crossed right over this area with 130mph winds.",infrastructure_and_utility_damage,Texas,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
Insecure @000000000000000 brags about the crowd size while touring #HurricaneHarvey damage in Texas. Pathetic.,infrastructure_and_utility_damage,Texas,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
WATCH LIVE: President Trump currently SPEAKING in TEXAS on Hurricane Harvey relief.,rescue_volunteering_or_donation_effort,TEXAS,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
Wow! CBP conducts water rescues in Texas! #flooding #Harvey,rescue_volunteering_or_donation_effort,Texas,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
"Floods wreaking havoc through Texas, Nepal, India, Bangladesh: 10 million + affected, 1200+ dead Almost as if the climate is changing",injured_or_dead_people,Texas,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
"Floods wreaking havoc through Texas, Nepal, India, Bangladesh: 10 million + affected, 1200+ dead Almost as if the climate is changing",injured_or_dead_people,Nepal,Country,3,नेपाल,28.1083929,84.0917139,Hurricane_harvey
"Floods wreaking havoc through Texas, Nepal, India, Bangladesh: 10 million + affected, 1200+ dead Almost as if the climate is changing",injured_or_dead_people,India,Country,3,India,22.3511148,78.6677428,Hurricane_harvey
"Floods wreaking havoc through Texas, Nepal, India, Bangladesh: 10 million + affected, 1200+ dead Almost as if the climate is changing",injured_or_dead_people,Bangladesh,Country,3,বাংলাদেশ,24.4769288,90.2934413,Hurricane_harvey
#I10 westbound at milepost 4 near the Texas border is still closed due to #Harvey flood water. Please avoid the area,caution_and_advice,Texas,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
Ill be at the Riesbecks in Elm Grove tomorrow from 10-Noon. Please bring a check to help those in Texas.,rescue_volunteering_or_donation_effort,Elm Grove,Neighborhood,3,"Elm Grove, Midland, Midland County, 79705, United States",32.0179517,-102.1046311,Hurricane_harvey
Ill be at the Riesbecks in Elm Grove tomorrow from 10-Noon. Please bring a check to help those in Texas.,rescue_volunteering_or_donation_effort,Texas,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
"Looking at you, Texas (which had 10k unsold tickets yesterday and the city expecting 7,000 evacuees) #hookem",displaced_people_and_evacuations,Texas,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
".@WRAL Traffic moving in parts of Houston, people here are very relieved. Yet flood still here. 233 roads remain closed. #wral #Harvey2017",infrastructure_and_utility_damage,Houston,City/town,3,"Houston, Harris County, Texas, United States",29.7589382,-95.3676974,Hurricane_harvey
"ATTN: Due to pressure loss caused by #Harvey, Lake Forest Utility District is on a Boil Notice. The water is not safe to drink.",caution_and_advice,Lake Forest,Natural Point-of-Interest,3,"Lake Forest, Lake County, Illinois, 60045, United States",42.2586461,-87.8407055,Hurricane_harvey
"River Plantation HurricaneHarvey damage in Conroe, TX.",infrastructure_and_utility_damage,River Plantation,Human-made Point-of-Interest,3,"River Plantation, Montgomery County, United States",30.25339565,-95.43776970712946,Hurricane_harvey
"River Plantation HurricaneHarvey damage in Conroe, TX.",infrastructure_and_utility_damage,Conroe,City/town,3,"Conroe, Montgomery County, Texas, United States",30.3118769,-95.4560512,Hurricane_harvey
"River Plantation HurricaneHarvey damage in Conroe, TX.",infrastructure_and_utility_damage,TX,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
"RT @0000000000000 1,200 have died in Nepal, Bangladesh and India flooding. But just a fraction of the coverage given to Harvey. ᾑ4",injured_or_dead_people,Nepal,Country,3,नेपाल,28.1083929,84.0917139,Hurricane_harvey
"RT @0000000000000 1,200 have died in Nepal, Bangladesh and India flooding. But just a fraction of the coverage given to Harvey. ᾑ4",injured_or_dead_people,Bangladesh,Country,3,বাংলাদেশ,24.4769288,90.2934413,Hurricane_harvey
"RT @0000000000000 1,200 have died in Nepal, Bangladesh and India flooding. But just a fraction of the coverage given to Harvey. ᾑ4",injured_or_dead_people,India,Country,3,India,22.3511148,78.6677428,Hurricane_harvey
Texas and Houston need our help. Give what you can. @00000000 #HarveyRelief #HoustonStrong #TexasStrong #Harvey2017,rescue_volunteering_or_donation_effort,Texas,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
Texas and Houston need our help. Give what you can. @00000000 #HarveyRelief #HoustonStrong #TexasStrong #Harvey2017,rescue_volunteering_or_donation_effort,Houston,State,3,"Houston, Harris County, Texas, United States",29.7589382,-95.3676974,Hurricane_harvey
"Catastrophic, Historic Flooding Happening Now in Houston, Death Toll Rising in Harvey",injured_or_dead_people,Houston,City/town,3,"Houston, Harris County, Texas, United States",29.7589382,-95.3676974,Hurricane_harvey
Tropical Storm #Harvey made landfall this morning in #Louisiana as rescue efforts continue in southeast #Texas.,rescue_volunteering_or_donation_effort,Louisiana,State,3,"Louisiana, United States",30.8703881,-92.007126,Hurricane_harvey
Tropical Storm #Harvey made landfall this morning in #Louisiana as rescue efforts continue in southeast #Texas.,rescue_volunteering_or_donation_effort,Texas,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
Attn Iowans: @0000000 is holding a Clear the Shelter adoption event to make room for animals displaced by #Harvey!,displaced_people_and_evacuations,Iowans,State,3,"Iowans For Life, 1818, Beaver Avenue, Beaverdale, Des Moines, Polk County, Iowa, 50310, United States",41.61096295,-93.67335845,Hurricane_harvey
"UPDATE: Wright-Patterson jets hauling troops, food to #Texas. #HurricaneHarvey #HurricaneHarveyRelief #rescue",rescue_volunteering_or_donation_effort,Texas,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
Hurricane Harvey: 50 Homes Damaged When Tornado Hits Missouri City,infrastructure_and_utility_damage,Missouri City,City/town,3,"Missouri City, Fort Bend County, United States",29.6185669,-95.5377215,Hurricane_harvey
RT @0000000000 News is reporting a tornado touched down at Fuqua @ 45 S. #houstonflood #HurricaneHarvey,caution_and_advice,Fuqua,County,3,"Fuqua, Liberty County, 77369, United States",30.4471514,-94.7363152,Hurricane_harvey
Thank you Debbie: Are your house in the Texas area affected by hurricane Harvey? If your home is flooding and,infrastructure_and_utility_damage,Texas,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
Mandatory evacuation implemented in Victoria County before Hurricane Harvey hits #KSATnews,displaced_people_and_evacuations,Victoria County,County,3,"Victoria County, United States",28.8026443,-96.9766308,Hurricane_harvey
"Storm chasing music NWStornado Tornado Warning including Wharton TX, East Bernard TX, Wal",caution_and_advice,Wharton,City/town,3,"Wharton County, United States",29.2454534,-96.2291474,Hurricane_harvey
"Storm chasing music NWStornado Tornado Warning including Wharton TX, East Bernard TX, Wal",caution_and_advice,TX,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
"Storm chasing music NWStornado Tornado Warning including Wharton TX, East Bernard TX, Wal",caution_and_advice,East Bernard,City/town,3,"East Bernard, Wharton County, United States",29.5273003,-96.0647348,Hurricane_harvey
"Storm chasing music NWStornado Tornado Warning including Wharton TX, East Bernard TX, Wal",caution_and_advice,TX,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
"The death toll rises in #Texas while more than 17,000 people seek refugee in shelters. The latest on #Harvey all morning on @00000",injured_or_dead_people,Texas,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
Drop off your donations of supplies thru @0000000000 for #HurricaneHarvey evacuees at in.gredients! #harvey #donate #HarveyLootcrew #Austin,rescue_volunteering_or_donation_effort,Austin,City/town,3,"Austin, Travis County, Texas, United States",30.2711286,-97.7436995,Hurricane_harvey
Catastrophic flooding continues with #Harvey in Texas. Here are the key messages for the new 10 am CDT advisory,caution_and_advice,Texas,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
"This is unbelievable. If the Houston mayor had ordered an evacuation, the loss of life would have been tremendous!",displaced_people_and_evacuations,Houston,City/town,3,"Houston, Harris County, Texas, United States",29.7589382,-95.3676974,Hurricane_harvey
IrishNewsTweets: More evacuations as Hurricane Harvey fallout spreads to Louisiana,displaced_people_and_evacuations,Louisiana,State,3,"Louisiana, United States",30.8703881,-92.007126,Hurricane_harvey
#BREAKING Brazos River breaches levee at Columbia Lakes in Brazoria County. Residents urged to evacuate now! #Txwx #Harvey,displaced_people_and_evacuations,Brazos River,Natural Point-of-Interest,3,"Brazos River, Missouri City, Fort Bend County, United States",29.51642175,-95.59440860015286,Hurricane_harvey
#BREAKING Brazos River breaches levee at Columbia Lakes in Brazoria County. Residents urged to evacuate now! #Txwx #Harvey,displaced_people_and_evacuations,Columbia Lakes,Natural Point-of-Interest,3,"Columbia Lakes, Columbia, Monroe County, Illinois, United States",38.47003,-90.21914369968133,Hurricane_harvey
#BREAKING Brazos River breaches levee at Columbia Lakes in Brazoria County. Residents urged to evacuate now! #Txwx #Harvey,displaced_people_and_evacuations,Brazoria County,County,3,"Brazoria County, United States",29.18161,-95.4993375,Hurricane_harvey
"Bear Creek homes, vehicles still submerged in water via @0000 #Harvey #Houston",infrastructure_and_utility_damage,Houston,City/town,3,"Houston, Harris County, Texas, United States",29.7589382,-95.3676974,Hurricane_harvey
Please were in lumberton and I have a newborn we have to wait until 6 am for anyone to come help us 😰,requests_or_urgent_needs,lumberton,City/town,3,"Lumberton, Hardin County, United States",30.2655322,-94.1991444,Hurricane_harvey
Still missing #Houston #Harvey #Troball Please HELP,missing_or_found_people,Houston,City/town,3,"Houston, Harris County, Texas, United States",29.7589382,-95.3676974,Hurricane_harvey
"Share with pregnant/postpartum moms needing care after being displaced by #Harvey. (Irving, TX)",displaced_people_and_evacuations,Irving,City/town,3,"Irving, Dallas County, United States",32.8295183,-96.9442177,Hurricane_harvey
"Share with pregnant/postpartum moms needing care after being displaced by #Harvey. (Irving, TX)",displaced_people_and_evacuations,TX,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
"By Tuesday, at least 40,000 people had been displaced from their Galveston County homes. via @00000000 #Harvey",displaced_people_and_evacuations,Galveston County,County,3,"Galveston County, United States",29.3872254,-94.992736,Hurricane_harvey
RT @000000000000 Tornado Warning for Brazoria and Matagorda Counties in TX until 3:15 AM CDT,caution_and_advice,Brazoria,County,3,"Brazoria County, United States",29.18161,-95.4993375,Hurricane_harvey
RT @000000000000 Tornado Warning for Brazoria and Matagorda Counties in TX until 3:15 AM CDT,caution_and_advice,Matagorda,County,3,"Matagorda County, United States",28.8879823,-96.0035095,Hurricane_harvey
RT @000000000000 Tornado Warning for Brazoria and Matagorda Counties in TX until 3:15 AM CDT,caution_and_advice,TX,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
1-Dead 14-Injured - Hurricane Harvey In Rockport TX: At least one person died from Harvey in the #TexasBreakingNews,injured_or_dead_people,Rockport,City/town,3,"Rockport, Aransas County, United States",28.0205733,-97.0544341,Hurricane_harvey
1-Dead 14-Injured - Hurricane Harvey In Rockport TX: At least one person died from Harvey in the #TexasBreakingNews,injured_or_dead_people,TX,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
"1000s likely remain stranded and estimated 30,000 - 40,000 homes have been destroyed in Houston area due to #Harvey.",infrastructure_and_utility_damage,Houston,City/town,3,"Houston, Harris County, Texas, United States",29.7589382,-95.3676974,Hurricane_harvey
Hurricane Harvey claims second victim in Texas as threat of flooding rises,injured_or_dead_people,Texas,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
Just know that if I go silent for a couple months. I aint dead. I will be in Texas working with disaster relief from Hurricane Harvey.,rescue_volunteering_or_donation_effort,Texas,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
Damage at Kings Square apartments in Corpus Christi. Photo: David H. #HurricaneHarvey,infrastructure_and_utility_damage,Kings Square apartments,Human-made Point-of-Interest,3,"Kings Road, Hickory Creek Apartments, Shelby, Cleveland County, North Carolina, 28150, United States",35.285462,-81.528535,Hurricane_harvey
Damage at Kings Square apartments in Corpus Christi. Photo: David H. #HurricaneHarvey,infrastructure_and_utility_damage,Corpus Christi,City/town,3,"Corpus Christi, Nueces County, United States",27.7635302,-97.4033191,Hurricane_harvey
Widespread devastation as tropical storm Harvey wrecks havoc on Texas. Two dead at least 30 unaccounted for as Harvey slams Texas. @0000000,injured_or_dead_people,Texas,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
